Symbol,Security,Qty,Type,Open date,Adj cost per share,Adj cost,Dollar cost
LLOY.L,LLOYDS,4231,Buy,05/11/21,0.470279,1999.7,
AMC,AMC Entertainment,52.94183864,Buy,05/27/21,18.6,998.49,
AMC,AMC Entertainment,52.94183864,Sell.FIFO,05/27/21,19.16,1014.17,
LLOY.L,LLOYDS,4231,Sell.FIFO,06/15/21,0.476925,2017.87,
LLOY.L,LLOYDS,4232,Buy,06/21/21,0.470189,1999.79,
LLOY.L,LLOYDS,4232,Sell.FIFO,06/24/21,0.473301,2003.01,
LLOY.L,LLOYDS,4269,Buy,07/07/21,0.46606,1999.56,
LLOY.L,LLOYDS,4269,Sell.FIFO,07/13/21,0.477749,2039.51,
LLOY.L,LLOYDS,4378,Buy,07/21/21,0.4545,1999.75,
LLOY.L,LLOYDS,4378,Sell.FIFO,07/26/21,0.46235,2024.17,
LLOY.L,LLOYDS,4316,Buy,07/29/21,0.461001,1999.63,
LLOY.L,LLOYDS,4316,Sell.FIFO,08/08/21,0.468874,2023.66,
AAPL,APPLE,15.57493487,Buy,01/06/22,128.2194,1996.97,172.75
ACN,ACCENTURE,7.02509662,Buy,01/06/22,284.2675,1784.99,382.92
MSFT,MICROSOFT,8.55118786,Buy,01/06/22,233.5366,1996.97,314.43
GOOGL,ALPHABET INC-CL A,1.46173557,Buy,01/06/22,2049.27,2995.44,2759.09
LLOY.L,LLOYDS,4560,Buy,06/10/22,0.436399,1999.93,
BARC.L,BARCLAYS,982,Buy,06/30/22,1.519796,1499.9,
LLOY.L,LLOYDS,2370,Buy,06/30/22,0.419827,999.96,
LLOY.L,LLOYDS,2397,Buy,07/05/22,0.419827,999.73,
BARC.L,BARCLAYS,1015,Buy,07/06/22,1.469803,1499.31,
BP.L,BP,533,Buy,07/06/22,3.729512,1997.77,
SHEL.L,SHELL,99,Buy,07/06/22,20.07303,1997.17,
